title,description,link,pubDate,BBC polarity,BBC subjectivity,Word,Count
Bill Clinton claims Monica Lewinsky affair was to 'help anxieties',The former president was impeached in 1998 for lying to investigators about the affair.,https://www.bbc.co.uk/news/world-us-canada-51769756,"Fri, 06 Mar 2020 16:56:35 GMT",0.25,0.25,coronavirus,6
Nathaniel Woods executed in Alabama despite campaign to save him,High-profile figures fail to stop the execution of Nathaniel Woods over the killing of policemen.,https://www.bbc.co.uk/news/world-us-canada-51766516,"Fri, 06 Mar 2020 11:43:54 GMT",-0.5,0.483333333,Korea,6
Coronavirus: 'The positive things we learnt from quarantine',Cheryl and Paul Molesky kept a video diary charting the highs and lows during a month on lockdown.,https://www.bbc.co.uk/news/world-us-canada-51684181,"Sat, 07 Mar 2020 09:50:59 GMT",0.2,0.2,Fashion,5
AEW wrestling: Singing for my brother's hero 17 years after he died,How Liz Rose made her brother proud 17 years after he died by performing Chris Jericho's entrance.,https://www.bbc.co.uk/news/world-us-canada-51682017,"Fri, 06 Mar 2020 19:14:34 GMT",0.227272727,0.545454545,Fashion,5
The other reason behind Wall Street's jitters,"It's not just the coronavirus driving markets, politics is too.",https://www.bbc.co.uk/news/business-51668495,"Wed, 04 Mar 2020 20:58:46 GMT",0.25,0.333333333,culinary,4
What does Trump's new Denaturalisation Section do?,Critics are concerned by the rise in denaturalisation cases brought by the Trump administration.,https://www.bbc.co.uk/news/world-us-canada-51681840,"Fri, 28 Feb 2020 23:31:17 GMT",-0.2625,0.5375,health,4
Making chopsticks into house furnishings,"ChopValue collects 350,000 used bamboo chopsticks from Vancouver restaurants every week.",https://www.bbc.co.uk/news/world-us-canada-51636832,"Sat, 29 Feb 2020 00:22:23 GMT",0.136363636,0.454545455,outbreak,4
How making a violin brought these two together,"When Nashville musician Amanda asked violinmaker Ray to make her one, little did she know where it would lead.",https://www.bbc.co.uk/news/world-us-canada-51649247,"Thu, 27 Feb 2020 20:17:39 GMT",0.525,0.75,,
Super Tuesday: Why didn't more young people vote?,Bernie Sanders won the youth vote in every single state on Super Tuesday - but that wasn't enough.,https://www.bbc.co.uk/news/world-us-canada-51763333,"Sun, 08 Mar 2020 00:11:32 GMT",-0.25,1,,
QUIZ: Where did Bloomberg's money go?,The billionaire has ended his White House bid - but not before spending a whole lot of money on his campaign.,https://www.bbc.co.uk/news/world-us-canada-51746882,"Wed, 04 Mar 2020 22:34:26 GMT",0.311111111,0.522222222,,
Joe Biden profile: Third White House run for 'Middle Class Joe',"The former vice-president has 40 years of political experience to call on, and to defend.",https://www.bbc.co.uk/news/world-us-canada-51682000,"Wed, 04 Mar 2020 10:50:05 GMT",0.111111111,0.255555556,,
US election 2020: Five charts on the Democratic race to take on Trump,Democrats have begun choosing the candidate who will go up against Donald Trump on 3 November. But who is leading the pack?,https://www.bbc.co.uk/news/world-us-canada-50097838,"Mon, 02 Mar 2020 15:46:02 GMT",0,1,,
How to find stricken kangaroos in Australian wildfires,Aerial cinematographer Douglas Thron is using his infrared-equipped drone to find animals in the aftermath of the Australian wildfires.,https://www.bbc.co.uk/news/world-australia-51712552,"Tue, 03 Mar 2020 00:05:42 GMT",0.1,0.4,,
'I received death threats for having coronavirus',"Carl Goldman, who first contracted the virus on board a cruise ship, urges everyone to stay calm.",https://www.bbc.co.uk/news/world-us-canada-51761713,"Fri, 06 Mar 2020 01:58:40 GMT",-0.04375,0.35,,
Super Tuesday: What unites bitter rivals Biden and Sanders?,Joe Biden and Bernie Sanders gave victory speeches and made some not-so-subtle digs at each other.,https://www.bbc.co.uk/news/world-us-canada-51732112,"Wed, 04 Mar 2020 04:18:28 GMT",0.136363636,0.454545455,,
Star Wars actor Mark Hamill surprises girl with R2-D2-style arm,"Bella Tadlock, 11, is the first person to receive a bionic arm inspired by the famous droid.",https://www.bbc.co.uk/news/uk-51729702,"Tue, 03 Mar 2020 19:57:04 GMT",0.116666667,0.583333333,,
